Date,Open,High,Low,Close,Adj Close,Volume
2017-09-29,0.001858,0.002716,0.001494,0.001950,0.001950,25327
2017-09-30,0.001950,0.002398,0.001628,0.001859,0.001859,11816
2017-10-01,null,null,null,null,null,null
2017-10-02,0.002761,0.003451,0.002071,0.002545,0.002545,227444
2017-10-03,0.002489,0.003586,0.002278,0.003164,0.003164,477297
2017-10-04,0.003241,0.003630,0.002939,0.003457,0.003457,244275
2017-10-05,0.003498,0.003498,0.002667,0.003017,0.003017,190723
2017-10-06,0.003061,0.003194,0.002262,0.002528,0.002528,121290
2017-10-07,0.002629,0.003274,0.002260,0.002444,0.002444,82501
2017-10-08,0.002532,0.002914,0.001481,0.002054,0.002054,119465
2017-10-09,0.002048,0.002810,0.001810,0.002572,0.002572,67403
2017-10-10,0.002605,0.002943,0.002219,0.002364,0.002364,103404
2017-10-11,0.002662,0.002879,0.002173,0.002390,0.002390,40109
2017-10-12,0.002480,0.002480,0.002029,0.002086,0.002086,64530
2017-10-13,0.002155,0.002621,0.002039,0.002330,0.002330,58371
2017-10-14,0.002275,0.002503,0.001934,0.002218,0.002218,46461
2017-10-15,0.002246,0.002707,0.001958,0.002131,0.002131,47041
2017-10-16,0.002071,0.002351,0.001848,0.001904,0.001904,47271
2017-10-17,0.001896,0.002230,0.001784,0.002007,0.002007,41053
2017-10-18,0.002052,0.002165,0.001824,0.001938,0.001938,129036
2017-10-19,0.002038,0.002337,0.001858,0.001918,0.001918,65091
2017-10-20,0.001982,0.002343,0.001742,0.002283,0.002283,102783
2017-10-21,0.002273,0.002692,0.002273,0.002573,0.002573,103847
2017-10-22,0.002539,0.002598,0.002302,0.002420,0.002420,47731
2017-10-23,0.002260,0.002757,0.002205,0.002591,0.002591,101334
2017-10-24,0.002695,0.003440,0.002695,0.003039,0.003039,283232
2017-10-25,0.003120,0.003179,0.002532,0.002885,0.002885,152827
2017-10-26,0.002825,0.003286,0.002709,0.002998,0.002998,162755
2017-10-27,0.002978,0.003150,0.002806,0.002978,0.002978,139731
2017-10-28,0.003197,0.003381,0.002889,0.002951,0.002951,207940
2017-10-30,0.002940,0.003246,0.002388,0.002695,0.002695,150371
2017-10-31,0.002839,0.003484,0.002710,0.002774,0.002774,126473
2017-11-01,0.002897,0.002965,0.002426,0.002493,0.002493,90793
2017-11-02,0.002599,0.038070,0.002037,0.002388,0.002388,70402
2017-11-03,0.002432,0.009798,0.001931,0.002289,0.002289,57114
2017-11-04,0.002356,0.002504,0.002062,0.002136,0.002136,79132
2017-11-05,0.002143,0.002365,0.002069,0.002291,0.002291,56306
2017-11-06,0.002157,0.002227,0.001949,0.002088,0.002088,62263
2017-11-07,0.002131,0.002273,0.002060,0.002202,0.002202,38168
2017-11-08,0.002308,0.002457,0.002084,0.002382,0.002382,180459
2017-11-09,0.002353,0.002424,0.002139,0.002353,0.002353,228417
2017-11-10,0.002167,0.002167,0.001773,0.001970,0.001970,302786
2017-11-11,0.001902,0.002029,0.001839,0.001902,0.001902,156938
2017-11-12,0.001763,0.001940,0.001587,0.001763,0.001763,496003
2017-11-13,0.001957,0.002218,0.001957,0.002152,0.002152,368359
2017-11-14,0.002177,0.002705,0.002045,0.002441,0.002441,951337
2017-11-15,0.002695,0.002840,0.002185,0.002331,0.002331,1161652
2017-11-16,0.002513,0.002592,0.001806,0.002120,0.002120,1183264
2017-11-17,0.002079,0.002156,0.001925,0.002002,0.002002,1018811
2017-11-18,0.002023,0.002179,0.001867,0.002023,0.002023,653720
2017-11-19,0.002091,0.002252,0.001850,0.001930,0.001930,301402
2017-11-20,0.001979,0.002309,0.001979,0.002144,0.002144,578654
2017-11-21,0.002106,0.002268,0.002025,0.002187,0.002187,525801
2017-11-22,0.002223,0.002635,0.002141,0.002223,0.002223,789944
2017-11-23,0.002164,0.002564,0.001923,0.002003,0.002003,1145129
2017-11-24,0.002050,0.002214,0.001886,0.002050,0.002050,1141587
2017-11-25,0.002189,0.002189,0.002014,0.002014,0.002014,1058373
2017-11-26,0.002143,0.002330,0.002050,0.002143,0.002143,1998547
2017-11-27,0.002239,0.002336,0.001947,0.002044,0.002044,2300868
2017-11-28,0.002080,0.002477,0.001981,0.002377,0.002377,1924688
2017-11-29,0.002361,0.002459,0.001771,0.002066,0.002066,2423179
2017-11-30,0.002150,0.002420,0.002040,0.002200,0.002200,5551
2017-12-01,0.002303,0.002391,0.002017,0.002086,0.002086,2977728
2017-12-02,0.002060,0.002200,0.002000,0.002020,0.002020,4397
2017-12-03,0.002020,0.002200,0.001950,0.002000,0.002000,7542
2017-12-04,0.002000,0.002190,0.001900,0.002120,0.002120,13814
2017-12-05,0.002120,0.002200,0.002020,0.002040,0.002040,11566
2017-12-06,0.002040,0.004190,0.002040,0.003860,0.003860,35876
2017-12-07,0.003860,0.005910,0.002940,0.003640,0.003640,135870
2017-12-08,0.003640,0.004140,0.002870,0.004040,0.004040,60318
2017-12-09,0.004040,0.004580,0.003940,0.004390,0.004390,51440
2017-12-10,0.004390,0.004490,0.003310,0.004140,0.004140,22574
2017-12-11,0.004140,0.005250,0.004090,0.004960,0.004960,51760
2017-12-12,0.005120,0.008000,0.004880,0.007670,0.007670,109576
2017-12-13,0.007670,0.020600,0.006540,0.014720,0.014720,286782
2017-12-14,0.014700,0.020410,0.013000,0.017540,0.017540,353615
2017-12-15,0.017540,0.019040,0.012650,0.018500,0.018500,212866
2017-12-16,0.018510,0.039010,0.017420,0.035860,0.035860,717825
2017-12-17,0.035870,0.040930,0.030150,0.034170,0.034170,608356
2017-12-18,0.034000,0.052560,0.030500,0.045560,0.045560,1115064
2017-12-19,0.045560,0.050090,0.038200,0.042260,0.042260,739566
2017-12-20,0.042360,0.046890,0.026860,0.046890,0.046890,868225
2017-12-21,0.046880,0.069690,0.041460,0.048290,0.048290,1376577
2017-12-22,0.048290,0.048770,0.020720,0.036530,0.036530,999508
2017-12-23,0.037440,0.056380,0.032730,0.048130,0.048130,1434012
2017-12-24,0.048110,0.051020,0.031620,0.038120,0.038120,1397619
2017-12-25,0.036150,0.040180,0.031240,0.033420,0.033420,601107
2017-12-26,0.032950,0.050880,0.031440,0.037630,0.037630,1155999
2017-12-27,0.037620,0.041800,0.033660,0.036490,0.036490,790115
2017-12-28,0.036490,0.040170,0.030010,0.039840,0.039840,603769
2017-12-29,0.039830,0.042440,0.033460,0.035430,0.035430,744970
2017-12-30,0.035430,0.041340,0.028800,0.037510,0.037510,650470
2017-12-31,0.037520,0.049360,0.033760,0.048620,0.048620,644515
2018-01-01,0.048620,0.061290,0.042310,0.057900,0.057900,1385041
