Date,Open,High,Low,Close,Adj Close,Volume
2017-07-08,0.157800,0.161100,0.150600,0.152100,0.152100,136190
2017-07-09,0.152100,0.158000,0.144000,0.145700,0.145700,90931
2017-07-10,0.145700,0.145700,0.145700,0.145700,0.145700,0
2017-07-11,0.144500,0.144500,0.124500,0.133700,0.133700,51759
2017-07-12,0.133700,0.140600,0.112600,0.120800,0.120800,97803
2017-07-13,0.120800,0.124400,0.109300,0.117700,0.117700,164335
2017-07-14,0.117700,0.118000,0.104500,0.109800,0.109800,108814
2017-07-15,0.109800,0.112800,0.087670,0.096830,0.096830,119335
2017-07-16,0.096830,0.134900,0.096810,0.134900,0.134900,124629
2017-07-17,0.134900,0.145000,0.115300,0.132400,0.132400,66145
2017-07-18,0.132400,0.160000,0.122800,0.126000,0.126000,55154
2017-07-19,0.126000,0.161200,0.125000,0.153400,0.153400,77062
2017-07-20,0.153400,0.153400,0.141500,0.145000,0.145000,8264
2017-07-21,0.145000,0.179000,0.145000,0.177000,0.177000,31326
2017-07-22,0.177000,0.188300,0.155500,0.167400,0.167400,93645
2017-07-23,0.167400,0.173700,0.158900,0.169600,0.169600,188593
2017-07-24,0.169600,0.178400,0.142200,0.157900,0.157900,435524
2017-07-25,0.157900,0.166500,0.144400,0.156500,0.156500,420104
2017-07-26,0.156500,0.177200,0.153400,0.171600,0.171600,431815
2017-07-27,0.171600,0.176000,0.155400,0.165500,0.165500,450948
2017-07-28,0.165500,0.171000,0.156200,0.169300,0.169300,353984
2017-07-29,0.169300,0.176700,0.158200,0.159000,0.159000,377165
2017-07-30,0.159000,0.170100,0.157400,0.161200,0.161200,422069
2017-07-31,0.161200,0.185700,0.161100,0.179100,0.179100,427298
2017-08-01,0.179100,0.240400,0.178500,0.214900,0.214900,313168
2017-08-02,0.214900,0.245800,0.210900,0.220000,0.220000,351348
2017-08-03,0.220000,0.231000,0.211200,0.223600,0.223600,295097
2017-08-04,0.223600,0.260000,0.215000,0.229600,0.229600,315873
2017-08-05,0.229600,0.255000,0.210300,0.244200,0.244200,250942
2017-08-06,0.244200,0.291300,0.236000,0.280200,0.280200,460706
